modulus,mask_proportion,shots,successes
15,0,45000,27028.5
15,0.5,45000,13531.57421875
15,0.1,45000,25895.75
15,0.9,45000,1907.553955078125
15,0.01,45000,27028.5
21,0,45000,19981.15234375
21,0.5,45000,10921.8662109375
21,0.1,45000,18610.775390625
21,0.9,45000,1974.24365234375
21,0.01,45000,19981.15234375
33,0,45000,13197.08984375
33,0.5,45000,7808.82470703125
33,0.1,45000,12554.7900390625
33,0.9,45000,1240.5908203125
33,0.01,45000,13197.08984375
35,0,45000,23293.29296875
35,0.5,45000,12980.830078125
35,0.1,45000,22895.263671875
35,0.9,45000,2139.0869140625
35,0.01,45000,23293.29296875
39,0,45000,23204.771484375
39,0.5,45000,13190.4951171875
39,0.1,45000,21561.875
39,0.9,45000,2492.97412109375
39,0.01,45000,23204.771484375
51,0,45000,24840.75
51,0.5,45000,13246.21875
51,0.1,45000,23750.37109375
51,0.9,45000,2594.72509765625
51,0.01,45000,24840.75
55,0,45000,23722.572265625
55,0.5,45000,12834.611328125
55,0.1,45000,21934.2578125
55,0.9,45000,2239.1474609375
55,0.01,45000,23722.572265625
57,0,45000,15920.0634765625
57,0.5,45000,8152.822265625
57,0.1,45000,14641.845703125
57,0.9,45000,1706.973876953125
57,0.01,45000,15920.0634765625
65,0,45000,19638.1171875
65,0.5,45000,9634.5732421875
65,0.1,45000,18557.1875
65,0.9,45000,2218.69091796875
65,0.01,45000,19638.1171875
69,0,45000,21440.41796875
69,0.5,45000,10739.0439453125
69,0.1,45000,19494.53125
69,0.9,45000,2216.152587890625
69,0.01,45000,21440.41796875
77,0,45000,12143.3857421875
77,0.5,45000,7102.69482421875
77,0.1,45000,11502.2998046875
77,0.9,45000,1320.48583984375
77,0.01,45000,12143.3857421875
85,0,45000,25291.9375
85,0.5,45000,13302.7490234375
85,0.1,45000,23607.99609375
85,0.9,45000,2787.96728515625
85,0.01,45000,25291.9375
87,0,45000,25604.3515625
87,0.5,45000,13261.9443359375
87,0.1,45000,23817.076171875
87,0.9,45000,2753.3330078125
87,0.01,45000,25604.3515625
91,0,45000,18305.900390625
91,0.5,45000,10188.53515625
91,0.1,45000,17921.267578125
91,0.9,45000,1976.9161376953125
91,0.01,45000,18305.900390625
93,0,45000,16731.71875
93,0.5,45000,8831.787109375
93,0.1,45000,15633.9453125
93,0.9,45000,1671.9566650390625
93,0.01,45000,16731.71875
95,0,45000,21077.26171875
95,0.5,45000,11934.349609375
95,0.1,45000,20365.060546875
95,0.9,45000,2133.71630859375
95,0.01,45000,21077.26171875
111,0,45000,19402.076171875
111,0.5,45000,9609.50390625
111,0.1,45000,18020.548828125
111,0.9,45000,1986.8048095703125
111,0.01,45000,19402.076171875
115,0,45000,24590.341796875
115,0.5,45000,12923.8271484375
115,0.1,45000,23116.146484375
115,0.9,45000,2463.981689453125
115,0.01,45000,24590.341796875
119,0,45000,23844.9921875
119,0.5,45000,13433.4052734375
119,0.1,45000,22821.84375
119,0.9,45000,2529.20263671875
119,0.01,45000,23844.9921875
123,0,45000,20331.654296875
123,0.5,45000,10404.876953125
123,0.1,45000,18806.884765625
123,0.9,45000,2023.3004150390625
123,0.01,45000,20331.654296875
129,0,45000,17832.28515625
129,0.5,45000,9761.4560546875
129,0.1,45000,16501.626953125
129,0.9,45000,1859.3997802734375
129,0.01,45000,17832.28515625
133,0,45000,11970.9609375
133,0.5,45000,6382.31005859375
133,0.1,45000,11861.6982421875
133,0.9,45000,1302.125
133,0.01,45000,11970.9609375
141,0,45000,21990.447265625
141,0.5,45000,10909.689453125
141,0.1,45000,19860.853515625
141,0.9,45000,2192.355224609375
141,0.01,45000,21990.447265625
143,0,45000,18792.3203125
143,0.5,45000,8864.3681640625
143,0.1,45000,17170.568359375
143,0.9,45000,1862.892333984375
143,0.01,45000,18792.3203125
145,0,45000,20225.953125
145,0.5,45000,10487.6845703125
145,0.1,45000,18506.693359375
145,0.9,45000,2114.189697265625
145,0.01,45000,20225.953125
155,0,45000,23472.705078125
155,0.5,45000,12861.0849609375
155,0.1,45000,22323.626953125
